"","Latitud","Longitud","camara"
"1",4.777138889,-75.56666944,"CT-UC-01-10"
"10",4.719944444,-75.56230556,"CT-UC-01-23"
"11",4.776083333,-75.55733333,"CT-UC-01-31"
"16",4.753388889,-75.56772222,"CT-UC-02-10"
"20",4.70825,-75.51330556,"CT-UC-02-21"
"26",4.706277778,-75.50852778,"CT-UC-02-22"
"59",4.709361111,-75.48961111,"CT-UC-02-26"
"147",4.713222222,-75.55105556,"CT-UC-01-01"
"148",4.730583333,-75.53441667,"CT-UC-01-02"
"149",4.713333333,-75.54613889,"CT-UC-01-03"
"150",4.714583333,-75.5415,"CT-UC-01-04"
"151",4.714666667,-75.55419444,"CT-UC-01-05"
"152",4.732138889,-75.53922222,"CT-UC-01-07"
"153",4.772333333,-75.57769444,"CT-UC-01-08"
"154",4.774027778,-75.57291667,"CT-UC-01-09"
"155",4.797861111,-75.58356389,"CT-UC-01-11"
"156",4.764416667,-75.58325,"CT-UC-01-12"
"157",4.768861111,-75.58130556,"CT-UC-01-13"
"158",4.729472222,-75.54294444,"CT-UC-01-14"
"159",4.732722222,-75.55266667,"CT-UC-01-15"
"160",4.721055556,-75.54,"CT-UC-01-16"
"161",4.728083333,-75.56258333,"CT-UC-01-17"
"162",4.729972222,-75.54877778,"CT-UC-01-18"
"163",4.725361111,-75.55869444,"CT-UC-01-20"
"164",4.735333333,-75.53575,"CT-UC-01-21"
"165",4.719111111,-75.54827778,"CT-UC-01-22"
"166",4.72475,-75.55341667,"CT-UC-01-24"
"167",4.723777778,-75.549,"CT-UC-01-25"
"168",4.733055556,-75.55744444,"CT-UC-01-26"
"169",4.723611111,-75.56475,"CT-UC-01-28"
"170",4.722027778,-75.54469444,"CT-UC-01-29"
"171",4.705277778,-75.53880556,"CT-UC-02-35"
"172",4.707111111,-75.54375,"CT-UC-02-34"
"173",4.733611111,-75.56972222,"CT-UC-02-01"
"174",4.738388889,-75.56988889,"CT-UC-02-02"
"175",4.73825,-75.56547222,"CT-UC-02-03"
"176",4.7385,-75.56094444,"CT-UC-02-04"
"177",4.741805556,-75.55780556,"CT-UC-02-05"
"178",4.75125,-75.58108333,"CT-UC-02-06"
"179",4.751027778,-75.57630556,"CT-UC-02-07"
"180",4.751055556,-75.57166667,"CT-UC-02-08"
"181",4.759333333,-75.56730556,"CT-UC-02-11"
"182",4.7605,-75.56258333,"CT-UC-02-12"
"183",4.762722222,-75.55858333,"CT-UC-02-13"
"184",4.700472222,-75.53416667,"CT-UC-02-14"
"185",4.699777778,-75.5295,"CT-UC-02-15"
"186",4.699361111,-75.52433333,"CT-UC-02-16"
"187",4.702583333,-75.52122222,"CT-UC-02-17"
"188",4.705388889,-75.51744444,"CT-UC-02-18"
"189",4.705111111,-75.50372222,"CT-UC-02-23"
"190",4.706277778,-75.49902778,"CT-UC-02-24"
"191",4.723055556,-75.56886111,"CT-UC-02-25"
"193",4.706611111,-75.49413889,"CT-UC-02-27"
"194",4.700222222,-75.51733333,"CT-UC-02-28"
"195",4.715361111,-75.56288889,"CT-UC-02-29"
"196",4.714527778,-75.55847222,"CT-UC-02-30"
"197",4.698225,-75.51255556,"CT-UC-02-31"
"198",4.709861111,-75.55786111,"CT-UC-02-32"
"199",4.708861111,-75.54863889,"CT-UC-02-33"
"110",4.6173889,-75.4185555555555,"EM-CT01-EA"
"2",4.61805,-75.42197,"EM-CT02-EA"
"3",4.61561,-75.42191,"EM-CT03-EA"
"4",4.6165,-75.4268,"EM-CT04-EA"
"5",4.61972,-75.42988,"EM-CT05-EA"
"6",4.62294,-75.43147,"EM-CT06-EA"
"7",4.6248,-75.43683,"EM-CT07-EA"
"8",4.62413,-75.43483,"EM-CT08-EA"
"9",4.61844,-75.41894,"EM-CT09-EA"
"101",4.61683,-75.42116,"EM-CT11-EA"
"111",4.62419,-75.42736,"EM-CT12-EA"
"12",4.62741,-75.42611,"EM-CT13-EA"
"13",4.62691,-75.42427,"EM-CT14-EA"
"14",4.63244,-75.42502,"EM-CT15-EA"
"15",4.63502,-75.4253,"EM-CT16-EA"
"1610",4.63708,-75.42352,"EM-CT17-EA"
"17",4.63416,-75.42438,"EM-CT18-EA"
"18",4.63616,-75.42611,"EM-CT19-EA"
"19",4.63872,-75.426,"EM-CT20-EA"
"201",4.64325,-75.42105,"EM-CT21-EA"
"21",4.64094,-75.41763,"EM-CT22-EA"
"22",4.63905,-75.42161,"EM-CT23-EA"
"23",4.63466,-75.42408,"EM-CT24-EA"
"24",4.62927,-75.42677,"EM-CT25-EA"
"25",4.62202,-75.42927,"EM-CT26-EA"
"261",4.6243,-75.43144,"EM-CT27-EA"
"27",4.62261,-75.43844,"EM-CT28-EA"
"28",4.62455,-75.44527,"EM-CT29-EA"
